ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
12,1,4000K,Low,[0.68288294;1.0;1.0],[0.64423602;1.0;1.0]
12,2,4000K,Low,[0.02697451;1.0;1.0],[0.97490138;1.0;1.0]
12,3,4000K,Low,[0.35880840;1.0;1.0],[0.28705366;1.0;1.0]
12,3,7000K,Normal,[0.36098106;1.0;1.0],[0.28704643;1.0;1.0]
12,2,7000K,Normal,[0.01629089;1.0;1.0],[0.98301275;1.0;1.0]
12,1,7000K,Normal,[0.68536363;1.0;1.0],[0.63861890;1.0;1.0]
12,3,7000K,High,[0.37243297;1.0;1.0],[0.28188475;1.0;1.0]
12,2,7000K,High,[0.02508685;1.0;1.0],[0.97595952;1.0;1.0]
12,1,7000K,High,[0.68984894;1.0;1.0],[0.65274250;1.0;1.0]
13,1,10000K,Normal,[0.69291871;1.0;1.0],[0.65016586;1.0;1.0]
13,2,10000K,Normal,[0.02643075;1.0;1.0],[0.98405931;1.0;1.0]
13,3,10000K,Normal,[0.34688455;1.0;1.0],[0.25680355;1.0;1.0]
13,1,10000K,High,[0.70707200;1.0;1.0],[0.64542517;1.0;1.0]
13,2,10000K,High,[0.02828235;1.0;1.0],[0.98062720;1.0;1.0]
13,3,10000K,High,[0.34705896;1.0;1.0],[0.26977809;1.0;1.0]
13,1,10000K,Low,[0.72198080;1.0;1.0],[0.64305419;1.0;1.0]
13,3,10000K,Low,[0.35949904;1.0;1.0],[0.24183019;1.0;1.0]
13,2,10000K,Low,[0.02571906;1.0;1.0],[0.98557190;1.0;1.0]
13,2,4000K,Normal,[0.02021022;1.0;1.0],[0.97432284;1.0;1.0]
13,1,4000K,Normal,[0.68352086;1.0;1.0],[0.64967966;1.0;1.0]
13,3,4000K,Normal,[0.36252777;1.0;1.0],[0.28568934;1.0;1.0]
13,2,4000K,High,[0.01207718;1.0;1.0],[0.98211598;1.0;1.0]
13,3,4000K,High,[0.35778497;1.0;1.0],[0.28898730;1.0;1.0]
13,1,4000K,High,[0.68155668;1.0;1.0],[0.64671795;1.0;1.0]
13,2,4000K,Low,[0.01033215;1.0;1.0],[0.98037467;1.0;1.0]
13,1,4000K,Low,[0.69428795;1.0;1.0],[0.64340531;1.0;1.0]
13,3,4000K,Low,[0.35806232;1.0;1.0],[0.27066833;1.0;1.0]
13,2,7000K,Normal,[0.01256015;1.0;1.0],[0.99011009;1.0;1.0]
13,1,7000K,Normal,[0.70665047;1.0;1.0],[0.65927806;1.0;1.0]
13,3,7000K,Normal,[0.34790911;1.0;1.0],[0.25494272;1.0;1.0]
13,3,7000K,High,[0.34085739;1.0;1.0],[0.26510906;1.0;1.0]
13,1,7000K,High,[0.70088355;1.0;1.0],[0.64136416;1.0;1.0]
13,2,7000K,High,[0.01702366;1.0;1.0],[0.97362674;1.0;1.0]
13,1,7000K,Low,[0.70817167;1.0;1.0],[0.64208706;1.0;1.0]
13,3,7000K,Low,[0.35439510;1.0;1.0],[0.26242598;1.0;1.0]
13,2,7000K,Low,[0.01586420;1.0;1.0],[0.98785257;1.0;1.0]
14,2,10000K,High,[0.01803378;1.0;1.0],[0.98600309;1.0;1.0]
14,1,10000K,High,[0.71571021;1.0;1.0],[0.63517525;1.0;1.0]
14,3,10000K,High,[0.35313422;1.0;1.0],[0.25061032;1.0;1.0]
